"short_name","preferred_foot","age","height_cm","pace","shooting","passing","dribbling","defending","weight_kg","wage_eur","team_jersey_number","league_name"
"De Marcos","Right",31,181.93312293637183,81,62,73,75,71,79.61698970625412,24000,18,"Spain Primera Division"
"M. Hitz","Right",32,194.00335847763571,,,,,,88.81616792728755,39000,35,"German 1. Bundesliga"
"M. Antonio","Right",30,178.38309385731986,84,75,73,78,56,82.00820472137272,46000,30,"English Premier League"
"L. Rodríguez","Right",29,176.8065198876209,84,64,72,75,72,75.74557303764615,46000,28,"Mexican Liga MX"
"C. Wood","Right",28,190.64487902340485,66,78,59,68,40,92.3777433612719,62000,9,"English Premier League"
"E. Stevens","Left",29,182.92956729622802,75,45,66,75,74,78.1967732007982,37000,3,"English Premier League"
"Herrerín","Right",32,186.92191489955684,,,,,,88.93256267201131,19000,25,"Spain Primera Division"
"R. Rodríguez","Left",27,179.7644328181908,71,67,76,74,77,77.02008875094393,41000,13,"Italian Serie A"
"G. Pezzella","Right",29,186.3057904284751,54,49,47,56,80,80.93608929440853,50000,20,"Italian Serie A"
"Laguardia","Right",30,185.42374972140766,51,46,55,51,80,79.74184676920545,25000,5,"Spain Primera Division"
"Hugo Mallo","Right",29,173.41592886853562,67,39,69,69,75,68.65496169785912,25000,2,"Spain Primera Division"
"C. Wilson","Right",28,180.1117519518782,82,77,65,76,39,65.9428432930402,48000,13,"English Premier League"
"P. Herrmann","Right",29,179.07945137916875,73,75,75,78,33,69.71400509204564,44000,7,"German 1. Bundesliga"
"J. Guilavogui","Right",29,187.778745400611,69,59,66,65,81,77.36045702445702,44000,23,"German 1. Bundesliga"
"C. Ortíz","Left",31,174.19770457293222,64,55,69,72,75,73.89649820856529,41000,16,"Mexican Liga MX"
"R. Funes Mori","Right",29,185.9500908423895,77,77,68,74,43,78.33491835138729,50000,7,"Mexican Liga MX"
"K. Malcuit","Right",28,178.01083900232715,81,63,73,78,74,77.24011908937831,57000,2,"Italian Serie A"
"N. Pallois","Left",32,189.2167328040923,44,53,60,57,79,88.88778631821026,26000,4,"French Ligue 1"
"Cristian Tello","Right",28,178.40455498717844,89,71,74,79,48,65.30825129628067,27000,11,"Spain Primera Division"
"D. Sidibé","Right",27,182.07172712457717,76,62,75,75,74,71.48621280528712,46000,29,"French Ligue 1"
"C. Tătărușanu","Right",34,197.79028858451903,,,,,,89.6613343504237,30000,1,"Italian Serie A"
"R. Freuler","Right",28,179.63975384871395,67,69,75,76,72,79.58829940672344,54000,11,"Italian Serie A"
"L. Spinazzola","Right",27,186.02592095173708,78,64,74,78,75,75.13473751501883,51000,37,"Italian Serie A"
"C. Kramer","Right",29,191.04578002514023,50,49,69,72,77,76.47769294099285,37000,6,"German 1. Bundesliga"
"T. Inui","Right",32,169.368000946836,80,71,75,84,46,68.62727105846646,30000,14,"Spain Primera Division"
"Bernard","Right",27,164.01898187141722,84,68,73,85,39,59.758975851355494,75000,20,"English Premier League"
"T. Savanier","Right",28,172.23177915707174,68,70,81,79,67,68.85681529448196,36000,11,"French Ligue 1"
"M. De Sciglio","Right",27,181.52958475408278,74,46,69,75,77,77.78459931354391,64000,2,"Italian Serie A"
"Manu Trigueros","Right",28,177.51716045065743,58,72,77,76,70,74.66280345854916,35000,14,"Spain Primera Division"
"R. Olsen","Right",30,196.06540164233573,,,,,,86.48986163942865,38000,1,"Italian Serie A"
"R. Saïss","Left",30,188.2827233847802,62,56,70,70,78,84.4660273566116,69000,27,"English Premier League"
"H. Sakai","Right",30,183.00931629256056,76,54,68,67,76,69.82265819968345,37000,2,"French Ligue 1"
"F. Mollet","Right",28,170.29072834299305,74,75,79,80,50,67.18071153327723,36000,25,"French Ligue 1"
"C. Günter","Left",27,185.08357703000968,84,54,69,70,73,86.64760793696028,25000,30,"German 1. Bundesliga"
"D. Machís","Right",27,174.11844649118976,86,77,74,80,38,74.46326569328797,29000,11,"Spain Primera Division"
"R. Steffen","Left",28,170.38133305745788,79,75,74,80,48,65.0676608711177,48000,8,"German 1. Bundesliga"
"F. Niederlechner","Right",29,186.55218690520465,78,78,64,74,35,85.73126884141315,35000,7,"German 1. Bundesliga"
"V. Grifo","Right",27,179.99073926163234,70,74,77,81,41,77.24735080906109,28000,32,"German 1. Bundesliga"
"Nacho","Left",31,174.747117160674,81,55,66,70,75,66.71832927687022,21000,22,"Spain Primera Division"
"D. Zappacosta","Right",28,185.21265968626474,75,66,72,74,76,70.45018284892261,19000,77,"Italian Serie A"
"Jony","Left",28,179.01088807337214,82,69,77,77,52,70.66969708843655,35000,7,"Spain Primera Division"
"A. Mena","Left",32,167.7598962686899,81,72,73,81,44,70.66559222508977,28000,13,"Mexican Liga MX"
"K. Toko-Ekambi","Right",27,185.3467917070587,81,79,67,78,27,77.98226875524888,65000,21,"French Ligue 1"
"Rubén Alcaraz","Right",29,182.92202518122787,62,73,79,71,78,80.62417436051658,24000,14,"Spain Primera Division"
"S. Tonali","Right",20,181.19810900160394,80,65,78,77,72,79.58889958063975,25000,8,"Italian Serie A"
"M. Greenwood","Left",18,181.172632102048,81,78,71,78,39,70.2095048498918,33000,11,"English Premier League"
"J. David","Right",20,177.02095229775057,85,76,69,78,25,76.8619795350052,29000,9,"French Ligue 1"
"E. Audero","Right",23,192.34331620395176,,,,,,83.37972610187147,13000,1,"Italian Serie A"
"O. Kabak","Right",20,185.93210319815333,72,36,56,71,76,85.78020021694941,19000,4,"German 1. Bundesliga"
"D. Kulusevski","Left",20,185.71044565596586,81,69,75,78,56,74.94558322451019,54000,44,"Italian Serie A"
"J. Boga","Right",23,174.08748803365555,84,73,72,82,37,71.60245096604632,29000,7,"Italian Serie A"
"E. Palacios","Right",21,177.4332516653057,76,74,74,78,68,69.50311862869368,40000,25,"German 1. Bundesliga"
"M. Guendouzi","Right",21,184.5132599981744,73,63,76,75,72,80.01877671825045,46000,29,"English Premier League"
"R. James","Right",20,181.82342110079566,80,57,72,75,73,87.40138425713714,49000,24,"English Premier League"
"S. Chukwueze","Left",21,172.4606182882015,88,72,66,84,36,70.42150663994443,23000,11,"Spain Primera Division"
"Luiz Felipe","Right",23,187.225411970038,75,29,61,68,79,80.38012453313556,41000,3,"Italian Serie A"
"M. Olivera","Left",22,183.88649978956303,77,50,65,70,74,77.86327038670693,22000,17,"Spain Primera Division"
"S. Amrabat","Right",23,184.66913331544973,78,60,74,79,75,69.82627679603638,43000,34,"Italian Serie A"
"J. Bowen","Left",23,174.8881218561755,78,74,71,79,44,69.75660007513493,35000,20,"English Premier League"
"I. Diop","Right",23,193.71587647016122,65,36,52,55,79,91.78227248726783,31000,23,"English Premier League"
"H. Onyekuru","Right",23,174.60184662280162,90,73,67,82,34,69.7120829094686,41000,7,"French Ligue 1"
"J. Bednarek","Right",24,188.96576468432207,62,22,53,55,79,76.9554853690458,41000,35,"English Premier League"
"H. Wilson","Left",23,173.46761905591674,78,78,75,77,44,69.58228657601241,66000,59,"English Premier League"
"Z. Çelik","Right",23,180.17160865941392,78,42,70,71,73,77.9051657734792,27000,2,"French Ligue 1"
"A. Zambo Anguissa","Right",24,183.97086795645885,73,65,72,78,75,77.7089110809775,76000,29,"English Premier League"
"Córdoba","Left",23,180.16631876276008,83,71,71,80,64,72.94699572656634,23000,11,"Spain Primera Division"
"N. Nández","Right",24,171.65547192059057,76,67,72,77,76,70.10256836557994,29000,18,"Italian Serie A"
"D. Lukébakio","Left",22,186.6115508829283,82,74,69,80,31,76.70246406882437,37000,11,"German 1. Bundesliga"
"A. Harit","Right",23,180.1789687287724,72,66,71,84,45,67.04000199782894,25000,25,"German 1. Bundesliga"
"D. James","Right",22,170.1396862883978,95,70,69,77,43,76.2854657028433,81000,21,"English Premier League"
"O. Yokuşlu","Right",26,189.64168552242978,66,70,72,72,75,78.62765202577518,22000,5,"Spain Primera Division"
"Óliver Torres","Right",25,175.06173116487813,65,67,78,82,63,69.73631460364977,26000,21,"Spain Primera Division"
"D. Origi","Right",25,187.97052452516542,82,76,67,77,27,75.30481523741614,79000,27,"English Premier League"
"Rúben Vezo","Right",26,183.13360393993128,76,54,63,64,79,79.74909142591017,23000,14,"Spain Primera Division"
"T. Castagne","Right",24,180.0079559236738,81,57,71,76,76,80.25257819769782,61000,27,"English Premier League"
"J. Omlin","Right",26,188.7159003568314,,,,,,79.84567805359967,24000,1,"French Ligue 1"
"N. Amiri","Right",23,180.3280898019564,69,69,78,83,56,73.48614734037172,47000,11,"German 1. Bundesliga"
"T. Kehrer","Right",23,186.4884332206574,72,44,65,67,78,76.17350216819511,52000,4,"French Ligue 1"
"Hwang Hee Chan","Right",24,176.79535998171156,93,75,71,79,28,76.90441375991543,45000,11,"German 1. Bundesliga"
"Rubén Duarte","Left",24,180.40940019713432,67,36,65,67,77,74.86566374582934,20000,3,"Spain Primera Division"
"G. Larsonneur","Right",23,181.02792634929236,,,,,,70.46581747267498,13000,1,"French Ligue 1"
"F. Kessié","Right",23,183.13734314739335,71,72,71,77,77,75.88707199273671,33000,79,"Italian Serie A"
"J. Lascelles","Right",26,188.13683132977312,58,28,51,57,78,89.25338852443056,37000,6,"English Premier League"
"T. Foket","Right",25,176.87936389575177,75,57,70,72,73,66.77041183643821,24000,32,"French Ligue 1"
"N. Maupay","Right",23,170.91232160369998,77,77,67,73,41,68.7513968259732,52000,9,"English Premier League"
"A. Iwobi","Right",24,185.13686520367617,78,66,73,79,28,75.33282354026151,61000,17,"English Premier League"
"K. Tete","Right",24,179.98523748387157,74,47,65,66,77,71.25674920188872,68000,2,"English Premier League"
"D. Sinkgraven","Left",24,178.5941453751209,79,60,78,80,73,65.48028113102261,43000,22,"German 1. Bundesliga"
"Unai López","Right",24,169.96957464276812,74,71,78,79,67,70.46637314075227,21000,8,"Spain Primera Division"
"M. Pašalić","Right",25,188.0478744521169,63,71,75,76,67,81.5923244266434,47000,88,"Italian Serie A"
"M. Holgate","Right",23,184.1673872700098,72,43,68,68,78,74.50011739017755,55000,4,"English Premier League"
"F. Maouassa","Left",21,169.97205791716766,82,68,71,75,72,72.60802309376619,29000,17,"French Ligue 1"
"T. Horn","Left",27,192.26796241472528,,,,,,89.65445482391169,21000,1,"German 1. Bundesliga"
"P. Gazzaniga","Right",28,195.60470664215435,,,,,,90.45443103139745,59000,22,"English Premier League"
"I. Hayden","Right",25,185.29980541875534,61,56,64,71,75,79.32082402024359,35000,14,"English Premier League"
"A. Thomasson","Right",26,176.87489194290592,69,72,76,78,65,72.12148524203894,30000,26,"French Ligue 1"
"A. Djiku","Right",25,181.52728697942328,69,41,67,71,77,73.96768724097633,26000,24,"French Ligue 1"
"A. Mitrović","Right",25,188.89747668268535,65,77,55,70,27,90.45854340824054,91000,9,"English Premier League"
"M. Simon","Right",24,167.79947612994908,92,71,67,82,36,68.65188904067874,24000,27,"French Ligue 1"
"G. Escalante","Right",27,181.69826046774918,66,67,71,69,75,76.41653895308491,48000,7,"Italian Serie A"
"H. Kamara","Left",26,168.09666910807638,88,60,68,76,71,67.39657754805222,32000,13,"French Ligue 1"
"L. Olaza","Left",25,174.99956643714356,76,71,74,74,73,67.68921144776307,21000,15,"Spain Primera Division"
"A. Conti","Right",26,183.71711617337033,75,59,70,75,73,75.54162693643018,34000,14,"Italian Serie A"
"E. Skhiri","Right",25,185.36134527704777,58,68,72,74,78,73.38741793717183,25000,28,"German 1. Bundesliga"
"D. Bouanga","Right",25,179.8217078959417,80,76,73,79,37,69.82987641031696,31000,20,"French Ligue 1"
"T. Minamino","Right",25,174.3225739992877,87,73,69,82,36,67.41120927764078,79000,18,"English Premier League"
"J. Murillo","Right",28,182.47702142680504,74,40,59,63,76,78.34574339345588,23000,24,"Spain Primera Division"
"M. Nastasić","Left",27,187.6012218275374,69,32,63,54,79,83.36207915742551,26000,5,"German 1. Bundesliga"
"Sergio Rico","Right",26,195.33250416082961,,,,,,89.91976146532896,49000,16,"French Ligue 1"
"A. Masuaku","Left",26,179.20008028174138,84,63,72,80,70,70.03503850880439,37000,26,"English Premier League"
"R. De Paul","Right",26,178.38731680479955,75,76,78,82,53,70.20422981660371,19000,10,"Italian Serie A"
"W. Cyprien","Right",25,181.21599470085505,72,77,77,78,74,78.27647647530127,34000,25,"French Ligue 1"
"Gonçalo Paciência","Right",25,183.72149303986174,58,78,59,78,33,78.65827534670855,30000,18,"German 1. Bundesliga"
"Otávio","Right",26,172.665923741789,61,53,66,72,78,71.71112349114526,30000,5,"French Ligue 1"
"Toni Villa","Right",25,172.01227505473378,77,64,75,82,52,63.062048462587825,21000,19,"Spain Primera Division"
"F. Lejeune","Right",29,188.71672549645388,48,57,61,65,78,89.2306500689929,24000,22,"Spain Primera Division"
"Sergi Gómez","Right",28,185.37385360326908,62,40,64,61,78,80.18995735986032,26000,3,"Spain Primera Division"
"Pedro Mendes","Right",29,185.98540521568503,67,36,50,62,79,78.09359375903873,31000,5,"French Ligue 1"
"G. Baldock","Right",27,174.84231361564878,78,47,65,74,72,66.95978912239799,33000,2,"English Premier League"
"J. Vestergaard","Right",27,199.21833867856273,33,48,60,48,78,95.68314169938736,48000,4,"English Premier League"
"L. Bittencourt","Right",26,169.83750913263412,79,68,74,84,56,61.73117306999249,29000,10,"German 1. Bundesliga"
"D. Klaassen","Right",27,179.37790841514376,64,77,72,75,69,70.36133718819524,29000,30,"German 1. Bundesliga"
"C. Taylor","Left",26,180.48231873255122,70,54,71,74,76,70.39029547762006,48000,3,"English Premier League"
"J. Willems","Left",26,176.59407746816237,75,65,76,77,72,81.93187231823734,26000,30,"German 1. Bundesliga"
"Moi Gómez","Right",26,176.01189016810048,68,72,77,78,54,70.75978990598735,31000,23,"Spain Primera Division"
"M. Lemina","Right",26,184.4230810616969,72,68,76,78,72,85.22832191956243,87000,18,"English Premier League"
"L. Alario","Right",27,183.9806568833014,63,77,58,74,29,77.69300490323614,59000,13,"German 1. Bundesliga"
"N. Maksimović","Right",28,193.14163740887207,59,28,47,54,80,86.8176854571666,53000,19,"Italian Serie A"
"Wendell","Left",26,177.53917169528506,74,49,73,79,72,72.1066379249537,50000,18,"German 1. Bundesliga"
"Bastos","Right",28,179.84514317338605,78,37,50,65,79,77.24432402737824,50000,15,"Italian Serie A"
"Álex Moreno","Left",27,178.59008001622033,89,60,71,78,70,67.74541885746463,22000,15,"Spain Primera Division"
"Jaume","Right",29,184.9264787756567,,,,,,72.83579719347577,26000,1,"Spain Primera Division"
"Mariano","Right",26,179.95331636669277,79,80,61,73,45,75.58406271994947,125000,24,"Spain Primera Division"
"R. Jarstein","Right",35,189.98451854172333,,,,,,86.48567910019672,21000,22,"German 1. Bundesliga"
"A. Young","Right",34,175.08692599372552,69,67,74,77,74,65.12930724539875,79000,15,"Italian Serie A"
"Hilton","Right",42,180.48952922692726,33,51,67,65,81,78.3206948704659,20000,4,"French Ligue 1"
"R. Snodgrass","Left",32,181.55668665552335,62,75,79,76,47,81.54525349618028,40000,11,"English Premier League"
"Borja Valero","Right",35,174.9752975091026,42,69,84,81,66,73.43612809368379,36000,6,"Italian Serie A"
"J. Orozco","Right",34,183.88315689010383,,,,,,81.3575066729487,17000,1,"Mexican Liga MX"
"G. Cahill","Right",34,192.7234768274475,37,58,51,57,79,88.01230172886798,48000,24,"English Premier League"
"J. Cork","Right",31,183.17725528378506,47,60,73,69,76,75.22452802547936,48000,4,"English Premier League"
"C. Bravo","Right",37,183.79556660339674,,,,,,79.81287057827441,12000,25,"Spain Primera Division"
"Miguel Veloso","Left",34,179.95292859163808,48,70,82,75,66,78.74226738416158,28000,4,"Italian Serie A"
"R. Fährmann","Right",31,196.6622158756668,,,,,,97.96978526550826,21000,1,"German 1. Bundesliga"
"D. Da Silva","Right",32,183.80979336730448,53,37,57,54,79,82.54111209397354,40000,3,"French Ligue 1"
"F. Fazio","Right",33,195.27300399549762,33,40,53,51,81,85.03131631360516,44000,20,"Italian Serie A"
"A. Lallana","Right",32,177.92959155147832,66,71,78,81,62,72.78522904821394,54000,14,"English Premier League"
"S. Jovetić","Right",30,182.85543268825998,66,78,76,79,35,79.09927863375059,51000,10,"French Ligue 1"
"F. Delph","Left",30,173.561579084177,66,68,74,76,73,77.5823015587958,64000,8,"English Premier League"
"A. Ogbonna","Left",32,190.75767771673637,53,39,58,60,79,86.09770736745473,37000,21,"English Premier League"
"C. Basham","Right",31,189.77520675888795,64,43,61,63,79,80.05849806290917,33000,6,"English Premier League"
"L. Montes","Left",34,165.96929498792744,62,74,76,79,59,67.9252706291245,26000,10,"Mexican Liga MX"
"O. Ighalo","Right",31,182.56015850399075,76,78,65,77,42,73.06348168289766,100000,25,"English Premier League"
"N. Kalinić","Right",32,187.12261366856737,63,76,64,73,42,78.879505327911,51000,25,"Spain Primera Division"
"O. Norwood","Right",29,175.02590506938049,56,68,80,69,72,68.77770765152194,38000,16,"English Premier League"
"P. van Aanholt","Left",29,175.87999554022358,86,68,71,76,71,67.28286337024669,50000,3,"English Premier League"
"E. Hernández","Right",32,170.97902748899475,73,75,75,79,46,69.5621651099689,58000,11,"Mexican Liga MX"
"M. Ritchie","Left",30,171.5104446969476,71,74,77,76,66,75.63884057793898,40000,11,"English Premier League"
"Montoro","Right",32,180.50368191387466,44,64,73,70,74,71.96464233456035,25000,19,"Spain Primera Division"
"C. Kouyaté","Right",30,189.2593150344322,67,65,62,69,78,82.6257168747217,48000,8,"English Premier League"
"A. Barnes","Right",30,185.7715991324721,61,78,68,74,47,83.93089235383327,56000,10,"English Premier League"
"Rafael Tolói","Right",29,184.64070297023224,63,47,58,62,81,75.03811106250653,47000,2,"Italian Serie A"
"Rochina","Left",29,181.77024637577816,70,77,77,81,54,75.60959730338357,26000,16,"Spain Primera Division"
"J. Shelvey","Right",28,183.84558045926605,58,73,79,73,62,79.87886049063722,42000,8,"English Premier League"
"J. Fleck","Left",28,168.97059801265272,71,71,78,77,70,72.18022760313663,38000,4,"English Premier League"
"S. Rudy","Right",30,179.53053329211812,66,67,78,77,75,71.7741620465482,29000,13,"German 1. Bundesliga"
"A. McCarthy","Right",30,193.1415452834955,,,,,,78.80768009128106,39000,1,"English Premier League"
"B. Hübner","Left",30,193.29228688784397,53,31,54,58,81,86.37995915362636,31000,21,"German 1. Bundesliga"
"Aridane","Right",31,186.00008793714284,60,36,53,53,76,77.03061341056073,29000,23,"Spain Primera Division"
"J. Baumgartlinger","Right",32,184.41669713589215,55,49,69,68,77,84.08739781153676,50000,15,"German 1. Bundesliga"
"A. Cresswell","Left",30,175.10416482684684,70,60,74,75,75,65.71858897572437,37000,3,"English Premier League"
"K. Strootman","Left",30,186.26255255118494,50,70,75,71,73,79.84183509799401,34000,6,"French Ligue 1"
"Iago Falqué","Left",30,174.40037804227043,72,73,78,81,41,68.51961752258707,46000,10,"Italian Serie A"
"Oier","Right",34,177.5948917843346,64,64,72,69,74,71.62110638726095,29000,6,"Spain Primera Division"
"M. Silvestri","Right",29,191.0896309100645,,,,,,79.87932621357521,22000,1,"Italian Serie A"
"P. Groß","Right",29,180.79130300762182,52,72,81,75,59,77.75750725454915,57000,13,"English Premier League"
"J. Kucka","Right",33,185.85163191775362,57,74,73,74,77,83.99503438423186,33000,33,"Italian Serie A"
"L. Sepe","Left",29,185.49087689494644,,,,,,75.30437866550899,26000,1,"Italian Serie A"
"J. Guðmundsson","Left",29,179.41948960494923,73,73,78,76,61,76.94376341582756,54000,7,"English Premier League"
"J. Pastore","Right",31,186.67884680218683,57,73,78,78,53,77.87806966742869,48000,27,"Italian Serie A"
"K. Vogt","Right",28,194.47477432551958,70,57,72,67,77,85.39245086778106,33000,22,"German 1. Bundesliga"
"Kike García","Right",30,185.91962700643083,62,78,64,73,38,79.38269739546234,31000,17,"Spain Primera Division"
"R. Soriano","Right",29,181.80677327705084,68,74,77,79,67,76.25720410731573,34000,21,"Italian Serie A"
"Víctor Ruiz","Left",31,184.74367138053987,48,42,62,58,80,77.98001140605521,22000,6,"Spain Primera Division"
"G. Medel","Right",32,171.21516572851036,65,47,64,68,77,75.91098697704918,30000,17,"Italian Serie A"
"X. Chavalerin","Left",29,178.39585748103477,63,64,75,73,71,65.66624696875797,26000,7,"French Ligue 1"
"R. Gikiewicz","Right",32,189.78551000673642,,,,,,80.79092468781572,21000,1,"German 1. Bundesliga"
"Montoya","Right",29,175.1222217810078,76,61,71,73,74,72.84654147062517,23000,2,"Spain Primera Division"
"I. Belfodil","Right",28,192.43467559326672,69,77,69,78,36,85.55270907029282,39000,19,"German 1. Bundesliga"
"A. Yarmolenko","Left",30,190.31751670848467,65,80,77,80,42,82.93194516871343,40000,7,"English Premier League"
"Sergi Enrich","Right",30,180.64974803922553,57,76,70,74,43,77.34287937580463,31000,9,"Spain Primera Division"
"A. Townsend","Left",28,177.97004844620324,78,75,74,79,38,72.5075615264872,54000,10,"English Premier League"
"S. Verdi","Left",27,174.07692490985926,82,73,78,83,48,64.89314019259888,46000,24,"Italian Serie A"
"D. Caligiuri","Right",32,181.50246810526784,68,73,76,75,71,80.0469121821356,29000,20,"German 1. Bundesliga"
"J. Ayew","Right",28,181.65811486768075,77,76,71,79,45,80.601237385335,59000,9,"English Premier League"
"D. Boyata","Right",29,188.1416195136584,71,29,52,57,77,84.21109414642255,41000,20,"German 1. Bundesliga"
"B. Stambouli","Right",29,179.89478021457614,56,55,67,70,79,82.41563954646182,27000,17,"German 1. Bundesliga"
"Germán","Right",33,187.41417257741065,51,40,59,56,78,81.51682245926001,25000,6,"Spain Primera Division"
"D. D'Ambrosio","Right",31,180.4284992236555,70,56,67,71,78,74.98363620890402,72000,33,"Italian Serie A"
"S. Rode","Right",29,180.1932513895537,68,64,71,73,76,70.90120597742944,27000,17,"German 1. Bundesliga"
"V. Darida","Right",29,172.46894635993743,66,71,74,80,70,66.62151295022801,45000,6,"German 1. Bundesliga"
"G. Ramírez","Left",29,183.41543567800213,61,75,78,79,39,77.77312179685704,22000,11,"Italian Serie A"
"L. Kurzawa","Left",27,181.92226383260933,74,65,73,76,74,74.4774113687554,60000,20,"French Ligue 1"
"J. Schmid","Right",30,179.87677740601598,79,64,74,77,69,79.89026164713817,24000,7,"German 1. Bundesliga"
"F. Fernández","Right",31,189.5485944822083,48,30,53,50,78,83.17573425331696,37000,18,"English Premier League"
"Aleix Vidal","Right",30,176.86898887109788,82,67,72,78,72,69.82070644226643,27000,27,"Spain Primera Division"
"S. Zaza","Left",29,186.0629853738648,73,78,62,75,50,84.15189425875171,48000,11,"Italian Serie A"
"Roque Mesa","Right",31,170.5881275089684,67,64,74,77,72,73.95793769012053,27000,26,"Spain Primera Division"
"B. Sarr","Right",28,176.85695770049145,81,70,74,76,71,65.22920710824785,36000,17,"French Ligue 1"
"D. Baselli","Right",28,182.40338957613903,70,72,79,80,66,69.53602723256496,44000,8,"Italian Serie A"
"Alberto Moreno","Left",27,170.52899860267937,85,66,69,78,70,65.01204306504248,29000,18,"Spain Primera Division"
"D. Cheryshev","Left",29,179.39195387073852,79,76,76,75,55,74.35209378478014,35000,17,"Spain Primera Division"
"Y. Abdelhamid","Left",32,189.73364615703375,34,33,56,65,78,83.4007517133818,25000,5,"French Ligue 1"
"Roberto Torres","Right",31,177.8276897140977,66,78,78,75,65,71.84728621578545,31000,10,"Spain Primera Division"
"F. Vázquez","Left",31,187.41815327109512,53,78,79,79,58,82.36899404861758,27000,22,"Spain Primera Division"
"J. Lingard","Right",27,174.80850988417097,77,74,74,78,58,62.17778959733404,93000,14,"English Premier League"
"C. Bacca","Right",33,180.882816374988,68,75,64,74,33,77.20508986479305,34000,9,"Spain Primera Division"
"Roger","Right",29,179.27557767184894,77,80,61,75,41,74.4202060222708,28000,9,"Spain Primera Division"
"J. Veltman","Right",28,184.42285904352087,65,49,66,68,79,74.91153912922938,52000,34,"English Premier League"
"J. Hector","Left",30,185.21657648050143,69,60,74,75,77,75.27616120530321,26000,14,"German 1. Bundesliga"
"Bruno Peres","Right",30,178.01569890500082,88,64,69,77,70,71.57768467875816,44000,33,"Italian Serie A"
"J. Hofmann","Right",27,176.45622639505922,73,69,76,78,49,70.03855364721439,36000,23,"German 1. Bundesliga"
"C. Vargas","Left",31,185.0959383126368,,,,,,76.9461710166751,12000,12,"Mexican Liga MX"
"D. Laxalt","Left",27,178.1690113082542,87,63,73,77,65,71.4009781181139,38000,93,"Italian Serie A"
"Puertas","Right",28,183.05170759599105,78,76,72,75,44,76.62177174757822,28000,10,"Spain Primera Division"
"Thiago Mendes","Right",28,177.36847165798233,72,67,75,77,74,79.97952708403034,58000,12,"French Ligue 1"
"J. Seri","Right",28,170.61403664651098,66,68,79,78,69,72.99512721281522,91000,24,"English Premier League"
"I. Slimani","Right",32,188.44362289569173,51,77,74,72,47,83.48406105708777,77000,13,"English Premier League"
"A. Marušić","Right",27,185.11003358211204,87,71,72,76,72,84.92377186367985,52000,77,"Italian Serie A"
"Sergi Guardiola","Left",29,184.40445579209594,74,75,61,78,30,77.55976873856615,24000,7,"Spain Primera Division"
"Ansu Fati","Right",17,177.88589829674518,88,71,68,79,29,65.64087489693961,24000,22,"Spain Primera Division"
"E. Camavinga","Left",17,181.8596155768423,71,62,74,77,75,68.42494768874673,5000,10,"French Ligue 1"
"N. Zaniolo","Left",20,190.29087465754128,76,73,72,77,62,78.94006327823526,33000,22,"Italian Serie A"
"F. Tomori","Right",22,185.03782107843978,80,37,58,66,76,78.14421646198475,55000,14,"English Premier League"
"T. Adams","Right",21,175.4885282294522,76,48,67,72,73,72.43491503162257,29000,14,"German 1. Bundesliga"
"Diogo Dalot","Right",21,183.00303835538523,79,60,70,76,71,75.97291661356701,56000,20,"English Premier League"
"M. Demiral","Right",22,191.58072566123903,72,39,49,59,78,84.73575190542299,48000,28,"Italian Serie A"
"M. Pongračić","Right",22,189.9439989744454,71,26,52,64,75,94.5971017280396,31000,34,"German 1. Bundesliga"
"B. Soumaré","Right",21,188.23800466471522,69,56,71,76,70,82.27279870299395,21000,24,"French Ligue 1"
"L. Fernández","Left",21,165.77880254312979,72,76,73,78,41,65.20000722339744,31000,17,"Mexican Liga MX"
"A. Maitland-Niles","Right",22,177.01105063721567,83,59,69,76,69,69.93456630354966,52000,15,"English Premier League"
"R. Koch","Right",23,191.13715175491163,71,38,59,63,77,86.0004092809857,64000,5,"English Premier League"
"M. Salisu","Left",21,190.81887655828774,67,36,51,54,76,85.23297696286907,32000,22,"English Premier League"
"Carlos Fernández","Left",24,185.82999440957693,69,78,63,77,27,72.13849047416176,24000,24,"Spain Primera Division"
"J. Kenny","Right",23,175.55536365189377,71,49,67,71,74,67.10458555427269,52000,2,"English Premier League"
"M. Eggestein","Right",23,180.7662560719823,71,66,73,77,71,75.33642864637496,23000,35,"German 1. Bundesliga"
"Edu Expósito","Right",23,179.0969713976851,54,70,71,74,66,66.90488590734745,23000,10,"Spain Primera Division"
"L. Blas","Left",22,180.4061583394869,75,71,74,79,60,70.04829502664907,22000,10,"French Ligue 1"
"X. Schlager","Left",22,173.83854284745465,70,69,71,76,65,76.33932531446366,35000,24,"German 1. Bundesliga"
"J. Brekalo","Right",22,174.73657628749194,77,69,70,83,36,70.30465819299596,35000,7,"German 1. Bundesliga"
"F. Müller","Left",22,192.24049941310557,,,,,,85.12644574800252,15000,21,"German 1. Bundesliga"
"J. Mateta","Right",23,192.44478189017326,76,74,53,72,33,88.07046434448122,26000,9,"German 1. Bundesliga"
"R. Alvarado","Left",21,175.73736064093703,75,71,75,77,53,69.85785126189545,40000,25,"Mexican Liga MX"
"Rubén Blanco","Right",24,188.32460364153397,,,,,,70.45090740729202,14000,13,"Spain Primera Division"
"K. Phillips","Right",24,178.03293653209587,66,66,70,68,73,71.86937734450518,64000,23,"English Premier League"
"J. Andersen","Right",24,191.8835706598628,58,47,63,56,77,90.2292085318247,41000,3,"French Ligue 1"
